publish_time,song_time,artist,artist_id,music_name,music_id,album,pic_url,album_id,no,crawl_time,music_url,music_down_url,update_time
2013-06-13,3:53,南征北战NZBZ,189873,原来,28892418,青春派 电影原声带,http://p2.music.126.net/v0LaYOX44ZiJjC1bzZbKOg==/109951163884032084.jpg,2630008,20,2024-11-20 10:51:55,https://music.163.com/song?id=28892418,Unknown,2024-11-20
2020-07-16,4:17,薛之谦,5781,天外来物,1463165983,天外来物,http://p2.music.126.net/MgH6SepYHboKPr6FR8yg-w==/109951167040040692.jpg,121012393,1,2024-11-20 10:51:55,https://music.163.com/song?id=1463165983,Unknown,2024-11-20
2019-04-16,3:41,阿虾,31093891,我愿,1359382613,我愿,http://p2.music.126.net/LSABk4kFpxAAgRCAJR3lfg==/109951164005597173.jpg,78533027,1,2024-11-20 10:51:55,https://music.163.com/song?id=1359382613,Unknown,2024-11-20
2020-02-19,3:35,毛不易,12138269,一程山路,1417849873,小王,http://p2.music.126.net/XPPeIZu7wgcGXZ0666mfFg==/109951164640697307.jpg,83823905,3,2024-11-20 10:51:55,https://music.163.com/song?id=1417849873,Unknown,2024-11-20
Unknown,4:11,"小霞, 海洋Bo","1192268, 36985903",向云端,2049512697,向云端,http://p2.music.126.net/TmOHxaGnFNlwNX8aPz66oA==/109951168638913915.jpg,166146490,1,2024-11-20 10:51:55,https://music.163.com/song?id=2049512697,Unknown,2024-11-20
2024-02-05,3:34,周深,1030001,小美满,2124381474,小美满,http://p2.music.126.net/ve0l1aPRUBPP7e4x2Oz5DA==/109951169318479430.jpg,185229004,1,2024-11-20 10:51:55,https://music.163.com/song?id=2124381474,Unknown,2024-11-20
Unknown,3:22,"7opy, BT07","32897995, 12138038",晚风,1441758494,晚风,http://p2.music.126.net/lCblKUB1hLND5FxiVI1_Lw==/109951164919449758.jpg,88188476,1,2024-11-20 10:51:55,https://music.163.com/song?id=1441758494,Unknown,2024-11-20
Unknown,4:14,郑润泽,29051613,你,1406083061,你,http://p2.music.126.net/OvnvQlFc8QSD7UnqtM9YYw==/109951164512103081.jpg,83644044,1,2024-11-20 10:51:55,https://music.163.com/song?id=1406083061,Unknown,2024-11-20
2018-11-23,3:45,Corki刘宗鑫,14608268,下坠Falling,1328146041,下坠Falling,http://p2.music.126.net/TyQNalBMYwsCOl5sq_NBTA==/109951164573566845.jpg,74495488,1,2024-11-20 10:51:55,https://music.163.com/song?id=1328146041,Unknown,2024-11-20
Unknown,3:11,"IRXD7, BROWN RECORD","51959578, 52509843",Lush Life x Paradise,2088107815,Lush Life x Paradise,http://p2.music.126.net/hDKFAVSV_dRZyvZZurLSOw==/109951170114614505.jpg,176244132,1,2024-11-20 10:51:55,https://music.163.com/song?id=2088107815,Unknown,2024-11-20
2023-04-24,3:22,海洋Bo,36985903,普通人生,2041799838,普通人生,http://p2.music.126.net/Z7SFxeQ5LH4YQP_7gOjWbw==/109951168565288639.jpg,164273950,1,2024-11-20 10:51:55,https://music.163.com/song?id=2041799838,Unknown,2024-11-20
2020-11-23,2:33,蒋小呢,37540088,给你呀（又名：for ya）,1497588709,for ya,http://p2.music.126.net/GI1Ex39x73zBT-1r7_o-sQ==/109951165494781109.jpg,98659782,1,2024-11-20 10:51:55,https://music.163.com/song?id=1497588709,Unknown,2024-11-20
Unknown,3:35,"h3R3, 高旭","12631485, 33900743",他只是经过,1443838552,他只是经过,http://p2.music.126.net/wUog39IHoJb76pL0AVCFNQ==/109951165348116023.jpg,89924258,1,2024-11-20 10:51:55,https://music.163.com/song?id=1443838552,Unknown,2024-11-20
2022-08-28,5:00,赵雷,6731,程艾影,1974443815,署前街少年,http://p2.music.126.net/9bVOooAY6U6EJLzpv1Fikw==/109951169682871673.jpg,150127127,7,2024-11-20 10:51:55,https://music.163.com/song?id=1974443815,Unknown,2024-11-20
2002-07-31,4:23,陈绮贞,7217,太聪明,209397,Groupies吉他手,http://p2.music.126.net/Mvv6oyi8XjVfAIk0Lg76aA==/109951165876268707.jpg,21302,2,2024-11-20 10:51:55,https://music.163.com/song?id=209397,Unknown,2024-11-20
Unknown,4:31,yihuik苡慧,36032190,致你,1867217766,致你,http://p2.music.126.net/VDmN2dNpIFu4gTv4bZe6KQ==/109951166254691365.jpg,131405806,1,2024-11-20 10:51:55,https://music.163.com/song?id=1867217766,Unknown,2024-11-20
2022-09-07,4:04,"海洋Bo, 高睿","36985903, 33850806",我的美丽feat.海洋Bo,1979417838,我的美丽feat.海洋Bo,http://p2.music.126.net/8ZpCzo4gEeCAQyXAGYXKUQ==/109951167854450663.jpg,151156371,1,2024-11-20 10:51:55,https://music.163.com/song?id=1979417838,Unknown,2024-11-20
2019-10-07,4:37,"国风堂, 哦漏","31862479, 1085108",知我,1394167216,知我,http://p2.music.126.net/_etyUh1ofScyTMFArsJXWg==/109951164415301539.jpg,82041721,1,2024-11-20 10:51:55,https://music.163.com/song?id=1394167216,Unknown,2024-11-20
